,zipcode,city,state,country
683,02215,Boston,MA,US
684,02216,Boston,MA,US
685,02217,Boston,MA,US
686,02222,Boston,MA,US
687,02228,East Boston,MA,US
688,02238,Cambridge,MA,US
689,02239,Cambridge,MA,US
690,02241,Boston,MA,US
691,02266,Boston,MA,US
692,02269,Quincy,MA,US
693,02283,Boston,MA,US
694,02284,Boston,MA,US
695,02293,Boston,MA,US
696,02295,Boston,MA,US
697,02297,Boston,MA,US
698,02298,Boston,MA,US
699,02301,Brockton,MA,US
700,02302,Brockton,MA,US
701,02303,Brockton,MA,US
702,02304,Brockton,MA,US
703,02305,Brockton,MA,US
704,02322,Avon,MA,US
705,02324,Bridgewater,MA,US
706,02325,Bridgewater,MA,US
707,02327,Bryantville,MA,US
708,02330,Carver,MA,US
709,02331,Duxbury,MA,US
710,02332,Duxbury,MA,US
711,02333,East Bridgewater,MA,US
712,02334,Easton,MA,US
713,02337,Elmwood,MA,US
714,02338,Halifax,MA,US
715,02339,Hanover,MA,US
716,02340,Hanover,MA,US
717,02341,Hanson,MA,US
718,02343,Holbrook,MA,US
719,02344,Middleboro,MA,US
720,02345,Manomet,MA,US
721,02346,Middleboro,MA,US
722,02347,Lakeville,MA,US
723,02348,Lakeville,MA,US
724,02349,Middleboro,MA,US
725,02350,Monponsett,MA,US
726,02351,Abington,MA,US
727,02355,North Carver,MA,US
728,02356,North Easton,MA,US
729,02357,North Easton,MA,US
730,02358,North Pembroke,MA,US
731,02359,Pembroke,MA,US
732,02360,Plymouth,MA,US
733,02361,Plymouth,MA,US
734,02362,Plymouth,MA,US
735,02364,Kingston,MA,US
736,02366,South Carver,MA,US
737,02367,Plympton,MA,US
738,02368,Randolph,MA,US
739,02370,Rockland,MA,US
740,02375,South Easton,MA,US
741,02379,West Bridgewater,MA,US
742,02381,White Horse Beach,MA,US
743,02382,Whitman,MA,US
744,02420,Lexington,MA,US
745,02421,Lexington,MA,US
746,02445,Brookline,MA,US
747,02446,Brookline,MA,US
748,02447,Brookline Village,MA,US
749,02451,Waltham,MA,US
750,02452,Waltham,MA,US
751,02453,Waltham,MA,US
752,02454,Waltham,MA,US
753,02455,North Waltham,MA,US
754,02456,New Town,MA,US
755,02457,Babson Park,MA,US
756,02458,Newton,MA,US
757,02459,Newton Center,MA,US
758,02460,Newtonville,MA,US
759,02461,Newton Highlands,MA,US
760,02462,Newton Lower Falls,MA,US
761,02464,Newton Upper Falls,MA,US
762,02465,West Newton,MA,US
763,02466,Auburndale,MA,US
764,02467,Chestnut Hill,MA,US
765,02468,Waban,MA,US
766,02471,Watertown,MA,US
767,02472,Watertown,MA,US
768,02474,Arlington,MA,US
769,02475,Arlington Heights,MA,US
770,02476,Arlington,MA,US
771,02477,Watertown,MA,US
772,02478,Belmont,MA,US
773,02479,Waverley,MA,US
774,02481,Wellesley Hills,MA,US
775,02482,Wellesley,MA,US
776,02492,Needham,MA,US
777,02493,Weston,MA,US
778,02494,Needham Heights,MA,US
779,02495,Nonantum,MA,US
780,02532,Buzzards Bay,MA,US
781,02534,Cataumet,MA,US
782,02535,Chilmark,MA,US
783,02536,East Falmouth,MA,US
784,02537,East Sandwich,MA,US
785,02538,East Wareham,MA,US
786,02539,Edgartown,MA,US
787,02540,Falmouth,MA,US
788,02541,Falmouth,MA,US
789,02542,Buzzards Bay,MA,US
790,02543,Woods Hole,MA,US
791,02552,Menemsha,MA,US
792,02553,Monument Beach,MA,US
793,02554,Nantucket,MA,US
794,02556,North Falmouth,MA,US
795,02557,Oak Bluffs,MA,US
796,02558,Onset,MA,US
797,02559,Pocasset,MA,US
798,02561,Sagamore,MA,US
799,02562,Sagamore Beach,MA,US
800,02563,Sandwich,MA,US
801,02564,Siasconset,MA,US
802,02565,Silver Beach,MA,US
803,02568,Vineyard Haven,MA,US
804,02571,Wareham,MA,US
805,02573,West Chop,MA,US
806,02574,West Falmouth,MA,US
807,02575,West Tisbury,MA,US
808,02576,West Wareham,MA,US
809,02584,Nantucket,MA,US
810,02601,Hyannis,MA,US
811,02630,Barnstable,MA,US
812,02631,Brewster,MA,US
813,02632,Centerville,MA,US
814,02633,Chatham,MA,US
815,02634,Centerville,MA,US
816,02635,Cotuit,MA,US
817,02636,Centerville,MA,US
818,02637,Cummaquid,MA,US
819,02638,Dennis,MA,US
820,02639,Dennis Port,MA,US
821,02641,East Dennis,MA,US
822,02642,Eastham,MA,US
823,02643,East Orleans,MA,US
824,02644,Forestdale,MA,US
825,02645,Harwich,MA,US
826,02646,Harwich Port,MA,US
827,02647,Hyannis Port,MA,US
828,02648,Marstons Mills,MA,US
829,02649,Mashpee,MA,US
830,02650,North Chatham,MA,US
831,02651,North Eastham,MA,US
832,02652,North Truro,MA,US
833,02653,Orleans,MA,US
834,02655,Osterville,MA,US
835,02657,Provincetown,MA,US
